Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away
12/16/22,27,11,221.5,8.5,-350,290,224,12,3,2
12/16/22,38,4,224,-1.5,105,-125,235,-3,2,4
12/16/22,6,24,226,3,-150,130,205,-23,2,2
12/16/22,25,22,235,4.5,-195,165,222,-2,2,2
12/16/22,8,29,226.5,4,-175,150,240,20,2,2
12/16/22,17,9,236,-1.5,110,-130,234,18,3,2
12/17/22,16,41,219.5,5,-195,165,195,9,2,3
12/17/22,31,20,222.5,-8.5,260,-335,212,-10,3,2
12/17/22,14,29,228,-3.5,135,-155,202,-12,2,1
12/17/22,7,8,212,9,-365,300,199,1,1,1
12/17/22,21,40,227.5,2,-135,115,220,26,2,2
12/17/22,25,19,230.5,-11,450,-600,224,6,1,2
12/17/22,28,23,228,3,-145,125,232,4,2,2
12/18/22,2,26,222.5,10.5,-520,410,187,-3,2,2
12/18/22,15,24,227.5,-1,-110,-110,215,-3,2,2
12/18/22,10,4,227.5,-8.5,280,-340,245,-3,2,2
12/18/22,38,11,223.5,6,-230,195,236,-16,2,2
12/18/22,22,6,234,-1.5,110,-130,276,24,2,2
12/18/22,9,5,235,9,-410,330,234,4,2,2
12/18/22,17,41,237,3,-150,130,236,2,2,1
12/19/22,7,40,219.5,8.5,-440,330,221,23,2,2
12/19/22,27,38,219,6.5,-265,225,205,3,3,1
12/19/22,1,26,229.5,8.5,-365,300,251,1,3,1
12/19/22,22,8,231,-6,200,-240,222,10,1,2
12/19/22,14,31,226.5,4.5,-190,160,229,-19,2,2
12/19/22,23,21,227.5,-1,-105,-115,247,-9,2,2
12/19/22,25,29,232.5,-4,145,-170,244,2,2,2
12/19/22,28,17,224,11,-610,460,234,26,2,1
12/19/22,30,5,241.5,10,-450,360,244,-6,3,1
12/20/22,10,40,229,-2.5,120,-140,237,-15,2,1
12/20/22,20,6,221.5,1,-120,100,216,-10,3,2
12/20/22,24,11,220.5,6.5,-240,200,226,38,2,2
12/20/22,28,41,222.5,7,-285,240,223,-3,1,2
12/20/22,9,19,235,-1,100,-120,196,14,2,3
12/21/22,7,21,215.5,2.5,-135,115,220,8,2,2
12/21/22,27,10,222,12,-675,500,206,20,2,1
12/21/22,24,38,217.5,2,-130,110,219,-7,1,2
12/21/22,4,11,224,10.5,-540,420,256,30,3,1
12/21/22,1,6,236,5,-200,170,218,-2,2,1
12/21/22,2,15,232,9.5,-425,340,229,-5,3,3
12/21/22,25,29,234,-3.5,140,-165,199,3,2,2
12/21/22,22,8,228,-2,115,-135,203,-5,2,2
12/21/22,14,26,223.5,1,-115,-105,226,-6,2,2
12/21/22,30,17,240,8,-350,290,254,14,2,2
12/21/22,16,5,229,9,-380,310,231,21,4,2
12/22/22,23,31,228.5,8.5,-345,285,243,9,3,3
12/22/22,40,41,232,7.5,-280,235,232,8,2,2
12/23/22,26,31,228.5,6,-240,200,246,20,2,1
12/23/22,27,16,214,3.5,-165,140,233,5,2,2
12/23/22,4,21,230.5,2,-135,115,218,18,2,2
12/23/22,7,38,214,4.5,-200,170,225,-11,2,2
12/23/22,1,10,234,9.5,-450,360,235,25,2,2
12/23/22,24,6,223.5,4.5,-185,150,235,-1,2,2
12/23/22,2,22,226.5,10.5,-500,370,230,12,2,2
12/23/22,14,8,220,-7,225,-265,218,-6,2,2
12/23/22,25,23,233,1.5,-125,105,253,-3,2,1
12/23/22,20,15,224.5,6.5,-240,200,219,-3,3,2
12/23/22,9,29,233,5.5,-210,180,227,13,3,2
12/23/22,30,41,239,7.5,-305,255,236,-14,2,1
12/23/22,28,19,226,-3,130,-150,225,-25,3,3
12/23/22,17,5,243,2.5,-140,120,264,-4,2,2
12/25/22,24,27,215.5,-2,105,-125,231,-7,2,2
